,Clean_Text,place.country,coordinates,compound,type
9137,republicansareruiningamerica  the aesthetic asylum ,United States,"[[-82.620093, 27.821353], [-82.2652945, 27.821353], [-82.2652945, 28.171836], [-82.620093, 28.171836]]",0.0,Neutral
9138,thecrimson inmates running asylum,United States,"[[-81.039288, 35.020671], [-80.9561131, 35.020671], [-80.9561131, 35.0747319], [-81.039288, 35.0747319]]",0.0,Neutral
9140,matthewamiller he is beyond help an asylum is too good for him,United States,"[[-115.1581427, 35.917793], [-114.918531, 35.917793], [-114.918531, 36.094719], [-115.1581427, 36.094719]]",0.6808,Positive
9141,zaireabailey asylum  okay bet  i keep hearing the hotel season is bad so im just gonna skip that one lol,United States,"[[-85.605166, 30.355644], [-80.742567, 30.355644], [-80.742567, 35.000771], [-85.605166, 35.000771]]",0.0516,Positive
9142,galateaa nah not even that tbhif anything as an example theyll do the front of junkeown and have nothing on the back its how they managed the avengers tower arkham asylum etc,United States,"[[-74.205822, 40.888642], [-74.1297933, 40.888642], [-74.1297933, 40.941452], [-74.205822, 40.941452]]",-0.1027,Negative
9145,npr she should ask for asylum,United States,"[[-124.703541, 41.991795], [-116.463262, 41.991795], [-116.463262, 46.2990779], [-124.703541, 46.2990779]]",0.0,Neutral
9146,maydaymindy9 feinbobbi is she looking for asylum,United States,"[[-82.293902, 28.962902], [-82.0278293, 28.962902], [-82.0278293, 29.277543], [-82.293902, 29.277543]]",0.0,Neutral
9147,no one should be depoed back to a war zone asylum layoverfromhell  legallimbo malaysia syriakontar81 ,United States,"[[-76.667184, 39.371735], [-76.563177, 39.371735], [-76.563177, 39.420969], [-76.667184, 39.420969]]",-0.7269,Negative
9151,in other words the inmates are running the asylum while we were all busy working over the last few decades these reprobates were being imbedded  ,United States,"[[-111.960775, 33.4358637], [-111.756022, 33.4358637], [-111.756022, 33.842816], [-111.960775, 33.842816]]",0.0,Neutral
9154,hlaurora63 the inmates running the asylum,United States,"[[-115.1581427, 35.917793], [-114.918531, 35.917793], [-114.918531, 36.094719], [-115.1581427, 36.094719]]",0.0,Neutral
9155,coming to an insane asylum err american university near you clapping bans and jazz hands at spoing events with each day rational people are more compelled to rise up and slapping down leftist sjws these people may actually be mentally ill ,United States,"[[-82.831674, 27.935178], [-82.679007, 27.935178], [-82.679007, 28.050243], [-82.831674, 28.050243]]",-0.6133,Negative
9159,nbcnews is she seeking asylum,United States,"[[-83.921282, 41.559463], [-83.786363, 41.559463], [-83.786363, 41.607357], [-83.921282, 41.607357]]",0.0,Neutral
9160,asylum fraud does happen  but we dont get rid of medicare bc of medical fraud  fix the system ,United States,"[[-118.250227, 33.732905], [-118.0631938, 33.732905], [-118.0631938, 33.885438], [-118.250227, 33.885438]]",-0.8225,Negative
9161,jeffmerkley trump has extended the time immigrants can be detained  move them on buses in the middle of the night  trump has called these asylum seekers animals rapists and murderers infesting us from shole countries we are treating them like that and not uniting immigrant families,United States,"[[-83.67529, 36.540739], [-75.16644, 36.540739], [-75.16644, 39.466012], [-83.67529, 39.466012]]",-0.8689,Negative
9162,thehill flotus i believe she is asking for asylum within the first hour,United States,"[[-112.0446837, 41.4828883], [-111.9689975, 41.4828883], [-111.9689975, 41.5359765], [-112.0446837, 41.5359765]]",0.0,Neutral
9163,msnbc can believe she waited this long to seek asylum,United States,"[[-92.889433, 42.491921], [-86.24955, 42.491921], [-86.24955, 47.309715], [-92.889433, 47.309715]]",0.0,Neutral
9165,realdonaldtrump dishonest donald worst immigration policy in american history kidnapped minors from folks immigrating to use for asylum ect minors put in dentention cnts and many will not be returned to parents immorial donald bad ideas bad policies must go impeach,United States,"[[-83.67529, 36.540739], [-75.16644, 36.540739], [-75.16644, 39.466012], [-83.67529, 39.466012]]",-0.9413,Negative
9168,msnbc looking for asylum,United States,"[[-71.080136, 42.042695], [-70.973413, 42.042695], [-70.973413, 42.126438], [-71.080136, 42.126438]]",0.0,Neutral
9170,shannonbream iwv inmates running the asylum,United States,"[[-71.251746, 42.183173], [-71.145595, 42.183173], [-71.145595, 42.259173], [-71.251746, 42.259173]]",0.0,Neutral
9173,theasylumcc ok i hate the asylum but that looks freaking creepy and cool at the same time,United States,"[[-71.403412, 42.24214], [-71.305249, 42.24214], [-71.305249, 42.329027], [-71.403412, 42.329027]]",-0.3612,Negative
9174,frat boy commits sexual assault and perjury gop lets put him on the supreme couasylum seeker crosses border fleeing for her life gop rule of law put her toddler in jail,United States,"[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]",-0.4588,Negative
9179,i imagine compared to the crazy that goes on every day at that insane asylum we call the whitehouse with trump and his crew of lunatics whatever kavanaugh did would make him seem like marilyn from the munsters to lil miss hickabee here ,United States,"[[-89.57151, 36.497129], [-81.964971, 36.497129], [-81.964971, 39.147359], [-89.57151, 39.147359]]",-0.7003,Negative
9183,who would pay to go to these insane asylum schools ,United States,"[[-80.519851, 39.719801], [-74.689517, 39.719801], [-74.689517, 42.516072], [-80.519851, 42.516072]]",-0.4767,Negative
9184,amirzia1 he isnt doing it to make pakistanis believe any thing nor does he care about em he is building a case for asylum,United States,"[[-87.825639, 41.704079], [-87.78989, 41.704079], [-87.78989, 41.769952], [-87.825639, 41.769952]]",-0.3875,Negative
9191,siasatpk it cant be funnier than this and when he says he knows why cases made against him but does not want to talk about it due to national interest he is clearly building a case for asylum,United States,"[[-87.825639, 41.704079], [-87.78989, 41.704079], [-87.78989, 41.769952], [-87.825639, 41.769952]]",0.7641,Positive
9195,latenightsandvoodoo welcometotheasylum medicate  the aesthetic asylum ,United States,"[[-82.620093, 27.821353], [-82.2652945, 27.821353], [-82.2652945, 28.171836], [-82.620093, 28.171836]]",0.0,Neutral
9198,progress theaestheticasylum acrylicmayhem abymatto welcometotheasylum abstractmayhem purple makeitsexy jacksonpollock theblackkeys gottagetaway  the aesthetic asylum ,United States,"[[-82.620093, 27.821353], [-82.2652945, 27.821353], [-82.2652945, 28.171836], [-82.620093, 28.171836]]",0.4215,Positive
9199,if graham thinks the world is a better place by assaulting women abusing children amp asylum seeker mocking disabled lying turning against allies amp praising adversaries dictators amp demigods we have different beliefs ,United States,"[[-117.399853, 33.152639], [-117.241905, 33.152639], [-117.241905, 33.299993], [-117.399853, 33.299993]]",-0.7906,Negative
9200,you mean imfigure monsters 9 and the asylum album right ,United States,"[[-123.122916, 44.853813], [-122.935114, 44.853813], [-122.935114, 45.016355], [-123.122916, 45.016355]]",0.0,Neutral
9201,call me stupid but after rewatching the first season of ahs  im realizing they mentioned season 2 asylum and season 6 roanoke towards the end of this crazzzzzy,United States,"[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]",-0.296,Negative
9202,drinking a pacific wonderland by deschutesbeer  home sweet asylum  ,United States,"[[-80.616078, 41.029245], [-80.560518, 41.029245], [-80.560518, 41.091401], [-80.616078, 41.091401]]",0.4588,Positive
9203,i love asylum amp cult thoughhh,United States,"[[-114.818269, 31.3322463], [-109.0451527, 31.3322463], [-109.0451527, 37.004261], [-114.818269, 37.004261]]",0.6369,Positive
9204,is there an asylum that left its doors open tonight i thought that only happened in haddonfield around 1978  ,United States,"[[-115.0646094, 36.074534], [-115.010215, 36.074534], [-115.010215, 36.137196], [-115.0646094, 36.137196]]",0.0,Neutral
9205,ggreenwald shivmalik assange sought political asylum to avoid sexual assault charges said hed surrender to us authorities if chelsea manning was granted clemency  she was he didntwikileaks dnc dump included hundreds of credit card social security numbers from donors,United States,"[[-118.3959042, 34.075963], [-118.3433861, 34.075963], [-118.3433861, 34.098056], [-118.3959042, 34.098056]]",-0.5719,Negative
9206,assange sought political asylum to avoid sexual assault charges said hed surrender to us authorities if chelsea manning was granted clemency  she was he didntwikileaks dnc dump included hundreds of credit card social security numbers from donors ,United States,"[[-118.3959042, 34.075963], [-118.3433861, 34.075963], [-118.3433861, 34.098056], [-118.3959042, 34.098056]]",-0.5719,Negative
9209,okay im tired for my last post of the night heres a photo i took of odin by the norway section in epcot  tomorrow i will post pa two of the disney trip which includes many ,United States,"[[-87.634643, 24.396308], [-79.974307, 24.396308], [-79.974307, 31.001056], [-87.634643, 31.001056]]",-0.25,Negative
9211,jenggen bobbybetke flotus seeking asylum is not illegal even crossing the border at a nondesignated spot is only a misdemeanor,United States,"[[-118.4484512, 33.976882], [-118.369529, 33.976882], [-118.369529, 34.035143], [-118.4484512, 34.035143]]",0.4449,Positive
9212,epcot disney norway norwegian architecture photo photography pa 2  epcot  walt disney world ,United States,"[[-87.634643, 24.396308], [-79.974307, 24.396308], [-79.974307, 31.001056], [-87.634643, 31.001056]]",0.0,Neutral
9213,norway section of epcot  photo photography professionalphotographer norwegian architecturephotography disney  epcot  walt disney world ,United States,"[[-87.634643, 24.396308], [-79.974307, 24.396308], [-79.974307, 31.001056], [-87.634643, 31.001056]]",0.0,Neutral
9214,streams of colour in the china section of epcot  photo photography professionalphotographer chinese architecture disney  epcot  walt disney world ,United States,"[[-87.634643, 24.396308], [-79.974307, 24.396308], [-79.974307, 31.001056], [-87.634643, 31.001056]]",0.0,Neutral
9215,germany section of epcot  photo photography professionalphotographer panorama german architecturephotography blueskies  epcot  walt disney world ,United States,"[[-87.634643, 24.396308], [-79.974307, 24.396308], [-79.974307, 31.001056], [-87.634643, 31.001056]]",0.0,Neutral
9216,honestly whos gonna throw kanye west in an asylum its about time he just honestly needs psychological help and hes at a point where he likely gets mad if someone says he should be medicated my fathers the same way ,United States,"[[-87.634643, 24.396308], [-79.974307, 24.396308], [-79.974307, 31.001056], [-87.634643, 31.001056]]",0.6705,Positive
9217,photo of me with my mum  epcot disney vacation bestmumever  epcot  walt disney world ,United States,"[[-87.634643, 24.396308], [-79.974307, 24.396308], [-79.974307, 31.001056], [-87.634643, 31.001056]]",0.0,Neutral
9218,italy section of epcot  inspired by the piazza san marco epcotfoodandwinefestival photo photography architecturephotography  epcot  walt disney world ,United States,"[[-87.634643, 24.396308], [-79.974307, 24.396308], [-79.974307, 31.001056], [-87.634643, 31.001056]]",0.4939,Positive
9219,this epcot epcotfoodandwinefestival japan disney photo photography professionalphotographer  epcot  walt disney world ,United States,"[[-87.634643, 24.396308], [-79.974307, 24.396308], [-79.974307, 31.001056], [-87.634643, 31.001056]]",0.0,Neutral
9220,drinking a black butte poer by deschutesbeer  home sweet asylum  ,United States,"[[-80.616078, 41.029245], [-80.560518, 41.029245], [-80.560518, 41.091401], [-80.616078, 41.091401]]",0.4588,Positive
9221,jhorlick2 brah this is an essential purchase no doubt photo pikachu pikapika teapot kawaii ivegottobuyit  epcot  walt disney world ,United States,"[[-87.634643, 24.396308], [-79.974307, 24.396308], [-79.974307, 31.001056], [-87.634643, 31.001056]]",-0.5719,Negative
9222,iraqi and afghan translators who saved the lives of us troops and were promised asylum and being murdered because trump wont let them in ,United States,"[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]",-0.0258,Neutral
9223,the japan section of epcot  i go to japan often so its cool to see how much authentic merchandise they have here photo photography professionalphotographer ,United States,"[[-87.634643, 24.396308], [-79.974307, 24.396308], [-79.974307, 31.001056], [-87.634643, 31.001056]]",0.3774,Positive
9224,photo with the band epcot epcotfoodandwinefestival disney  epcot  walt disney world ,United States,"[[-87.634643, 24.396308], [-79.974307, 24.396308], [-79.974307, 31.001056], [-87.634643, 31.001056]]",0.0,Neutral
9225,this was a pretty cool show in the morocco section of epcot  music dancing conce epcotfoodandwinefestival  epcot  walt disney world ,United States,"[[-87.634643, 24.396308], [-79.974307, 24.396308], [-79.974307, 31.001056], [-87.634643, 31.001056]]",0.6705,Positive
9226,tbaaay the first three are the best by far but season 2 asylum will always be my fave,United States,"[[-96.937783, 33.081206], [-96.7327146, 33.081206], [-96.7327146, 33.219073], [-96.937783, 33.219073]]",0.7543,Positive
9227,naytash 2nd and 3rd are tough but number 1 has to be asylum,United States,"[[-75.280284, 39.871811], [-74.955712, 39.871811], [-74.955712, 40.13792], [-75.280284, 40.13792]]",0.0516,Positive
9228,marypoppins in blackandwhite  photo photography disney epcot ateaspoonofsugar  epcot  walt disney world ,United States,"[[-87.634643, 24.396308], [-79.974307, 24.396308], [-79.974307, 31.001056], [-87.634643, 31.001056]]",0.0,Neutral
9229,thou hast angered the birdmen idk me sillybitch epcot  epcot  walt disney world ,United States,"[[-87.634643, 24.396308], [-79.974307, 24.396308], [-79.974307, 31.001056], [-87.634643, 31.001056]]",-0.5719,Negative
9231,totem totempole epcot photo hashtag  epcot  walt disney world ,United States,"[[-87.634643, 24.396308], [-79.974307, 24.396308], [-79.974307, 31.001056], [-87.634643, 31.001056]]",0.0,Neutral
9232,i saw these birds at epcot first haha photo photography birds  epcot  walt disney world ,United States,"[[-87.634643, 24.396308], [-79.974307, 24.396308], [-79.974307, 31.001056], [-87.634643, 31.001056]]",0.4588,Positive
9233,okay now the disney photos staed the journey at epcot for the international food and wine festival photo photography epcotfoodandwinefestival  epcot  walt disney world ,United States,"[[-87.634643, 24.396308], [-79.974307, 24.396308], [-79.974307, 31.001056], [-87.634643, 31.001056]]",0.6249,Positive
9234,couples dance at my cousin adams wedding  they look very happy photo photography professionalphotographer wedding unofficialweddingphotographer  patrick air force base florida ,United States,"[[-80.619699, 28.2124443], [-80.596459, 28.2124443], [-80.596459, 28.272521], [-80.619699, 28.272521]]",0.6115,Positive
9235,pretty sure this is the best family selfie ever familyreunion happydays  south patrick chapel ,United States,"[[-80.620244, 28.186323], [-80.593197, 28.186323], [-80.593197, 28.212852], [-80.620244, 28.212852]]",0.8658,Positive
9236,drinking a fresh squeezed ipa by deschutesbeer  home sweet asylum  ,United States,"[[-80.616078, 41.029245], [-80.560518, 41.029245], [-80.560518, 41.091401], [-80.616078, 41.091401]]",0.6486,Positive
9237,my cousin charliethefarmer looks suspiciously in my direction at our cousin adams wedding   south patrick chapel ,United States,"[[-80.620244, 28.186323], [-80.593197, 28.186323], [-80.593197, 28.212852], [-80.620244, 28.212852]]",-0.4019,Negative
9238,the ritzcarlton in orlando was pretty decent florida hotels photo sunnyskies  the ritzcarlton orlando grande lakes ,United States,"[[-87.634643, 24.396308], [-79.974307, 24.396308], [-79.974307, 31.001056], [-87.634643, 31.001056]]",0.4939,Positive
9239,more train views of nature  photo photography professionalphotographer naturephotography river  richmond virginia ,United States,"[[-77.601044, 37.447046], [-77.385297, 37.447046], [-77.385297, 37.61272], [-77.601044, 37.61272]]",0.0,Neutral
9240,gonna sta posting vacation pics heres a cool nature photo i took from the train photography professionalphotographer naturephotography river  fredericksburg virginia ,United States,"[[-77.5193868, 38.270129], [-77.447189, 38.270129], [-77.447189, 38.3260007], [-77.5193868, 38.3260007]]",0.3182,Positive
9241,andrewgillum the families that are being separated are the ones who are illegally going around the pos of entry children r being used by fake parents to come into this country this is called human trafficking if u are looking for asylum amp its truthful then why are you breaking the law,United States,"[[-80.321683, 25.7090404], [-80.144974, 25.7090404], [-80.144974, 25.855667], [-80.321683, 25.855667]]",-0.0258,Neutral
9242,took me long enough to sta watching american horror story amp im hooked  hello ahs asylum,United States,"[[-114.710936, 32.601699], [-114.458569, 32.601699], [-114.458569, 32.734737], [-114.710936, 32.734737]]",-0.5719,Negative
9243,silver ale all points broadcast have you seen this person please return him to hope county asylum for elders hcae he is considered dangerous can be lured with donuts ,United States,"[[-80.519851, 39.719801], [-74.689517, 39.719801], [-74.689517, 42.516072], [-80.519851, 42.516072]]",0.2732,Positive
9245,speaking of chuckycult of chuckysadly just like scream the only chucky movie on netflix is this this one is about nica pierce the survivor of curse of a chucky who is now in an insane asylum she begins to wonder if chucky is real after all ,United States,"[[-102.033765, 33.4471196], [-101.760581, 33.4471196], [-101.760581, 33.693933], [-102.033765, 33.693933]]",-0.5994,Negative
9246,seanmdav ford must suffer from multiple personality disorder  christine is only one of her multiple personalities  more hypnosis amp psychotherapy neededperhaps in a state institution like an asylum,United States,"[[-71.191421, 42.227797], [-70.986004, 42.227797], [-70.986004, 42.399542], [-71.191421, 42.399542]]",-0.5719,Negative
9247,afreakky roanoke asylum or cult,United States,"[[-80.3520669, 25.9233988], [-80.293194, 25.9233988], [-80.293194, 25.9571644], [-80.3520669, 25.9571644]]",0.0,Neutral
9248,stjamescheese fqmule gimmethosebooks i think they had a few songs i saw them here with soul asylum it was all very 90s i am sure i wore flannel,United States,"[[-90.137908, 29.889574], [-89.884108, 29.889574], [-89.884108, 30.075628], [-90.137908, 30.075628]]",0.3744,Positive
9249,gop realdonaldtrump but kidnapping kids putting them in cages and not protecting them at over 700  per day per child or locking up people who are legally seeking asylum or wanting to build a wall i could get overfollow the money,United States,"[[-90.5008048, 38.675851], [-90.407348, 38.675851], [-90.407348, 38.756043], [-90.5008048, 38.756043]]",0.1531,Positive
9250,mzhemingway it is the new reality in which illegal aliens have more rights than citizens the inmates are running the asylum  detocqueville wrote that democracy was a noble endeavor but would fail when people realized they could vote themselves money  they are now voting themselves money,United States,"[[-71.191421, 42.227797], [-70.986004, 42.227797], [-70.986004, 42.399542], [-71.191421, 42.399542]]",-0.7227,Negative
9251,mtavani11 alyssamilano and did they appreciate the meaning behind give me your tired your poor your huddled masses yearning to breathe free also many of the kids are legitimate asylum seekers,United States,"[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]",0.128,Positive
9252,drinking an off switch by aleasylum at theroxbar  ,United States,"[[-88.305771, 42.9020744], [-88.174237, 42.9020744], [-88.174237, 43.061202], [-88.305771, 43.061202]]",0.0,Neutral
9254,im proud to say that ill be helping an lgbt guatemalan male fight for his asylum to remain in the us he got a dui and was put in a detention center despite being in a graduate program in california but we are suppose to forgive caucasian males for raping women at a young,United States,"[[-117.431914, 34.019341], [-117.34137, 34.019341], [-117.34137, 34.176056], [-117.431914, 34.176056]]",-0.7814,Negative
9255,bobbybetke flotus so about 30000 a month are seeking asylum i dont think sowhy dont you go down there and sponsor some illegals they could come stay in your house and you could pay for all their needs argument solved,United States,"[[-81.883223, 41.275311], [-81.785053, 41.275311], [-81.785053, 41.350754], [-81.883223, 41.350754]]",-0.2023,Negative
9256,lovetocamp4 kmeagle flotus the vast majority of those people who came here recently did not come from mexico also you can seek asylum from thing other than political sexual assault human trafficking gang violence etc you really need an education you are simply parroting right wing propaganda learn,United States,"[[-74.041878, 40.570842], [-73.855673, 40.570842], [-73.855673, 40.739434], [-74.041878, 40.739434]]",-0.872,Negative
9258,royblunt burrellcenter talk all u want about addiction  12000 children separated from their parents all bcz they applied for asylum followed the rules by applying at the border and had their children detained your post sucks,United States,"[[-94.8442025, 38.915313], [-94.704952, 38.915313], [-94.704952, 38.993369], [-94.8442025, 38.993369]]",-0.5994,Negative
9259,lovetocamp4 flotus parents that came through the legal pos of entry amp requested asylum had their children taken from them amp 1000s have still not been returned now they are being transferred to tent cities in the dese on the texmex border stop watching faux amp educate yourselves does u good,United States,"[[-74.041878, 40.570842], [-73.855673, 40.570842], [-73.855673, 40.739434], [-74.041878, 40.739434]]",0.296,Positive
9260,lovetocamp4 bobbybetke flotus how many times does it have to be said most of had legal asylum,United States,"[[-79.906256, 40.3389985], [-79.870192, 40.3389985], [-79.870192, 40.359391], [-79.906256, 40.359391]]",0.1935,Positive
9262,patients running the asylum ,United States,"[[-80.519851, 39.719801], [-74.689517, 39.719801], [-74.689517, 42.516072], [-80.519851, 42.516072]]",0.0,Neutral
9263,therickydavila we should be able to commit mcconnell to an insane asylum hes really nutz,United States,"[[-118.0429637, 33.732214], [-117.8941157, 33.732214], [-117.8941157, 33.805876], [-118.0429637, 33.805876]]",-0.128,Negative
9264,8gravesnyc you talk big talk but i dont know of any kid ever asking for asylum just another liberal excuse and i do know the immigration laws thank you i dont need to be schooled by you,United States,"[[-88.020495, 41.4100069], [-87.903571, 41.4100069], [-87.903571, 41.469601], [-88.020495, 41.469601]]",0.5719,Positive
9265,boydcrowder15 dogpdx carlorussso nytimes these are children we are talking about we should not refer to them in the abstract or as pawns this is not what this country before dump is made of many migrants were seeking asylum and then arrested seeking asylum was legal in the us before dump was elected,United States,"[[-73.933612, 40.785365], [-73.765271, 40.785365], [-73.765271, 40.91533], [-73.933612, 40.91533]]",-0.7783,Negative
9266,eyeofthestormz tomlin has no control tried to be everyones friend didnt work inmates running the asylum now,United States,"[[-95.8463667, 29.676113], [-95.711056, 29.676113], [-95.711056, 29.7678652], [-95.8463667, 29.7678652]]",0.25,Positive
9267,realfarmacist im sure all those asylum seeking families whose children are now in cages thank you so much for making the world a better place you lying sniveling toady,United States,"[[-122.436232, 47.4953154], [-122.2249728, 47.4953154], [-122.2249728, 47.734319], [-122.436232, 47.734319]]",0.5106,Positive
9268,cchristinefair shanehardy58 no proof just a whacko accuser who cant remember hit give me a breakprivilege accomplishment is more accurate kavanaugh is the wronged pay here ford belongs in an asylum,United States,"[[-124.482003, 32.528832], [-114.131212, 32.528832], [-114.131212, 42.009519], [-124.482003, 42.009519]]",-0.6705,Negative
9272,caledonianroses cinemastrikes freestuff1979 fisherbuon realtomcody jmikemorbid leroidante xglamourghoul bloodofkirby commandoelite99 slutsnguts strangecinema65 hallowshaunts filmtoilet queenhalloweenw trashcandanpt3 drgiallo odraws thescarylibrary upgrademovie letterboxd wow how no one made that movie damn you asylum you are holding on us,United States,"[[-98.778559, 29.141956], [-98.302744, 29.141956], [-98.302744, 29.693046], [-98.778559, 29.693046]]",-0.0258,Neutral
9273,is there a bar w an asylum next to each other in the central il area asking 4 a friend amp mnegangard,United States,"[[-91.51308, 36.970298], [-87.019935, 36.970298], [-87.019935, 42.508303], [-91.51308, 42.508303]]",0.4939,Positive
9274,whos ready to get locked up at the bass asylum stage freaknight ,United States,"[[-122.3377166, 47.802196], [-122.262542, 47.802196], [-122.262542, 47.8537715], [-122.3377166, 47.8537715]]",0.3612,Positive
9276,behind the scenes of 2investigates special repo on an oakland hospital documenting tales of toure for asylum cases watch  6 and 10 tonight on ktvu ,United States,"[[-122.514926, 37.708075], [-122.357031, 37.708075], [-122.357031, 37.833238], [-122.514926, 37.833238]]",0.4019,Positive
9277,the nuts are totally in charge of the asylum ,United States,"[[-97.0446813, 32.985088], [-96.938975, 32.985088], [-96.938975, 33.0997855], [-97.0446813, 33.0997855]]",-0.3182,Negative
9278,anyone got any suggestions for haunted attractions except for creamy acted the asylum,United States,"[[-80.519851, 39.719801], [-74.689517, 39.719801], [-74.689517, 42.516072], [-80.519851, 42.516072]]",-0.0772,Negative
9280,dont66 dogpdx carlorussso nytimes two points in rebuttal 1 when discussing the children they did not have a choice as their parents brought them here 2 the majority of those entering the usa are seeking asylum whether they entered legally or notby international law they have a right to be heard 1,United States,"[[-87.634643, 24.396308], [-79.974307, 24.396308], [-79.974307, 31.001056], [-87.634643, 31.001056]]",0.1027,Positive
9281,i had the same conversation with auntdiggie12 last night i literally said i feel like were surrounded by people that escaped the insane asylum and were trapped but out in the open its so true years ago the nutjobs were obvious now not so much ,United States,"[[-124.482003, 32.528832], [-114.131212, 32.528832], [-114.131212, 42.009519], [-124.482003, 42.009519]]",0.561,Positive
9283,helenbrosnan womensmarch heywhat the fuk is going on where r they getting  kids what 4 where r they going is there a plan 4 dtrumph campholding amp removing ppl 2 interment camps that come 2 this country 4 asylum from gangsthat killdrugssex slavesamp moreis not americanmy best jmlresist,United States,"[[-95.679001, 30.23105], [-95.3972667, 30.23105], [-95.3972667, 30.443978], [-95.679001, 30.443978]]",-0.5216,Negative
9284,4uconservatives debltaylor2 rip babies from mommys arms seeking asylum and separate them for months if theyre brown because i created americans  not people also elect presidents that fuck and pay off porn stars while their 3rd wife is home with their newborn  god,United States,"[[-96.85743, 32.9971507], [-96.612371, 32.9971507], [-96.612371, 33.1253341], [-96.85743, 33.1253341]]",-0.2023,Negative
9285,30 days to halloween  delight yourself in the frightful memories of fembodyshowcase2017 when the studio was transformed into fembody heights asylum for the insanely aerial  ,United States,"[[-118.184987, 33.789789], [-118.149557, 33.789789], [-118.149557, 33.818734], [-118.184987, 33.818734]]",0.1531,Positive
9286,as the expression goes the inmates are running the asylum ,United States,"[[-71.191421, 42.227797], [-70.986004, 42.227797], [-70.986004, 42.399542], [-71.191421, 42.399542]]",0.0,Neutral
9288,wessbowen alyssamilano many did come here legally seeking asylum go look in the mirror and tell yourself you are ok with the conditions these kids are going through did you cringe just a little,United States,"[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]",0.3818,Positive
9289,mschlapp b13sumcovfefe if these cable stations want to interview credible people they would find more at the local insane asylum than michael avenatti,United States,"[[-121.4507864, 36.8162818], [-121.363572, 36.8162818], [-121.363572, 36.874852], [-121.4507864, 36.874852]]",-0.34,Negative
9290,dairbusmech alyssamilano not all many are legitimate asylum seekers give me your tired your poor your huddled masses yearning to breathe free,United States,"[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]",-0.296,Negative
9293,thinio78 kansaskaye lisamarieboothe zamnly please if you really believe her you shouldnt be allowed to leave the asylum,United States,"[[-79.76259, 40.477383], [-71.777492, 40.477383], [-71.777492, 45.015851], [-79.76259, 45.015851]]",0.2732,Positive
9296,american horror story asylum will forever be the best season hands down,United States,"[[-81.663505, 41.350892], [-81.599376, 41.350892], [-81.599376, 41.420653], [-81.663505, 41.420653]]",0.128,Positive
9298,unpopular opinion ahs asylum is boring,United States,"[[-83.913917, 42.415445], [-83.788304, 42.415445], [-83.788304, 42.514601], [-83.913917, 42.514601]]",-0.3182,Negative
9299,is seeking asylum a magnet for migration that is the terrifying question just posed at immconf the  of asylum seekers should not be the concern protecting asylum seekers should be,United States,"[[-77.119401, 38.801826], [-76.909396, 38.801826], [-76.909396, 38.9953797], [-77.119401, 38.9953797]]",-0.5719,Negative
9300,murder house or asylum ,United States,"[[-94.704218, 31.5548498], [-94.594405, 31.5548498], [-94.594405, 31.673033], [-94.704218, 31.673033]]",-0.6908,Negative
9302,1 murder house2 asylum3 coven4 cult5 freak show6 roanoke7 hotel ,United States,"[[-82.91273, 39.950926], [-82.851156, 39.950926], [-82.851156, 39.986808], [-82.91273, 39.986808]]",-0.8225,Negative
9303,asylum is the worst season of ahs dont  me,United States,"[[-101.954673, 34.960525], [-101.8781334, 34.960525], [-101.8781334, 35.017533], [-101.954673, 35.017533]]",-0.6249,Negative
9304,pu41967 hillaryclinton its not against the law to seek asylum,United States,"[[-124.848975, 45.543542], [-116.915989, 45.543542], [-116.915989, 49.0025023], [-124.848975, 49.0025023]]",0.0,Neutral
9305,marwilliamson yes and make sure they are no separated from their families when seeking asylum in this country the trauma is real,United States,"[[-117.282538, 32.53962], [-116.9274403, 32.53962], [-116.9274403, 33.0804044], [-117.282538, 33.0804044]]",0.0,Neutral
9306,theglitterati my eyebrows need your help too  the aesthetic asylum ,United States,"[[-82.620093, 27.821353], [-82.2652945, 27.821353], [-82.2652945, 28.171836], [-82.620093, 28.171836]]",0.4019,Positive
9307,dont66 boydcrowder15 dogpdx carlorussso nytimes they have slowed the process at many of the border sites and then turn themselves in to authorities seeking asylum ,United States,"[[-87.940033, 41.644102], [-87.523993, 41.644102], [-87.523993, 42.0230669], [-87.940033, 42.0230669]]",0.0,Neutral
9308,betheshark  the aesthetic asylum ,United States,"[[-82.620093, 27.821353], [-82.2652945, 27.821353], [-82.2652945, 28.171836], [-82.620093, 28.171836]]",0.0,Neutral
9309,the differential sufferings of homeless in refugee asylum concentration and homeless camps is calculated in pa by internal v external displacement natural v human causes ,United States,"[[-106.645646, 25.837092], [-93.508131, 25.837092], [-93.508131, 36.500695], [-106.645646, 36.500695]]",0.3612,Positive
